fid,lat,long,index,2016,yield Kg/Feddan,2017,yield Kg/Feddan_1,2018,yield Kg/Feddan_2,2019,yield Kg/Feddan_3,2020,yield Kg/Feddan_4,2021,yield Kg/Feddan_5,2022,yield Kg/Feddan_6
"161",30.8258,31.07405,"1130",,,wheat - rice,3100-4100,,,wheat - rice,3300-4300,,,wheat - rice,3100-4100,,
"162",30.827759,31.077871,"1114",wheat,"2300",wheat - rice,3200-4100,wheat,"3100",wheat - rice,3300-4100,wheat,"3200",wheat - rice,3100-4200,wheat,"3100"
"163",30.822454,31.094808,"1082",wheat-rice,3200-4100,wheat,"3300",wheat,"3300", rice,"4400",wheat,"3100",rice,"4000",wheat,"3100"
"164",30.82619,31.09383,"1074",wheat,"3300",wheat,"3200",wheat,"3300",,,wheat,"3000",,,wheat,"3300"
"165",30.837611,31.081035,"1072",,,wheat,"3300",,,wheat,"3300",,,wheat,"3100",,
"166",30.83394,31.10546,"1065",,,wheat,,,,wheat,"3300",,,wheat,"3200",,
"167",30.83681,31.10697,"1174",,,wheat,"3300",,,wheat - rice,3300-4200,,,wheat - rice,3300-4100,,
"168",30.84071,31.0999,"1084",,,wheat,"3200",,,wheat - rice,3300-4200,,,wheat - rice,3100-4000,,
"169",30.84865,31.10184,"1073",,,wheat,"3100",,,wheat,"3400",,,wheat,"3100",,
"170",30.85512,31.09477,"1179",,,wheat,"3200",,,wheat - rice,3100-4300,,,wheat - rice,3300-2100,,
"171",30.85683,31.09311,"1180",,,wheat,"3300",,,wheat - rice,3100-4100,,,wheat - rice,3100-4100,,
"172",30.87145,31.08482,"1129",wheat,"3300",wheat - rice,3200-4100,wheat,"3200",rice,"4400",wheat,"3200",rice,"4100",wheat,"3000"
"173",30.87203,31.08729,"1125",,,wheat,"3200",,,wheat - rice,3300-4300,,,wheat - rice,3200-4000,,
"174",30.87125,31.08842,"1083",,,wheat,"3200",,,wheat - rice,3400-4200,,,wheat - rice,3200-4100,,
"175",30.8704,31.08792,"1127",wheat,"3200",wheat - rice,3100-4200,wheat,"3300",rice,"4400",wheat,"3100",rice,"4200",wheat,"3200"
"176",30.86911,31.09063,"1079",wheat,"3200",wheat,"3400",wheat,"3300",wheat - rice,3300-4300,wheat,"3200",wheat - rice,3200-4200,wheat,"3200"
"177",30.87007,31.09138,"1171",,,wheat,"3100",,,wheat - rice,3100-4100,,,wheat - rice,3300-4200,,
"178",30.86338,31.10179,"1178",wheat - rice,3100-4000,wheat,"3300",wheat - rice,3300-4100,rice,"4400",wheat - rice,3000-4200,rice,"4200",wheat - rice,3200-4100
"179",30.85834,31.10829,"1091",wheat,"3300",wheat - rice,3100-4000,wheat,"3300",wheat - rice,3300-4200,wheat,"3200",wheat - rice,3300-4100,wheat,"3100"
"180",30.87552,31.14623,"1182",,,wheat,"3100",,,wheat,"3400",,,wheat,"3000",,
"181",30.8596,31.125903,"1181",,,wheat,"3000",,,wheat - rice,3200-4200,,,wheat - rice,3100-4000,,
"182",30.85559,31.12891,"1090",wheat,"3200",wheat - rice,3200-4100,wheat,"3300",wheat - rice,3300-4300,wheat,"3000",wheat - rice,3100-4100,wheat,"3200"
"183",30.83185,31.12034,"1173",wheat,"3300",wheat - rice,3200-4200,wheat,"2200",wheat - rice,3300-4200,wheat,"3300",wheat - rice,3100-4200,wheat,"3100"
"184",30.833343,31.120494,"1085",Wheat,"3100",wheat,"3200",wheat,"3100",rice,"4300",wheat,"3200",rice,"4000",wheat,"3200"
"185",30.8335,31.11987,"1080",wheat-rice,3100-4100,wheat,"3400",wheat,"3300",wheat - rice,3300-4200,wheat,"3100",wheat - rice,3100-4100,wheat,"3000"
"186",30.83366,31.12043,"1075",Wheat,"3300",wheat,"3200",wheat,"3200",wheat - rice,3300-4200,wheat,"3000",wheat - rice,3100-4000,wheat,"3200"
"187",30.835878,31.12048,"1176",wheat,"3200", rice,"4200",wheat,"3200",wheat - rice,3300-4100,wheat,"3200",wheat - rice,3100-4100,wheat,"3100"
"188",30.8367,31.1199,"1076",,,wheat,"3200",,,wheat - rice,3300-4200,,,wheat - rice,3100-4100,,
"189",30.83714,31.12016,"1066",wheat-rice,3300-4200,wheat,"3300",wheat,"3300",wheat-rice,3100-4200,wheat,"3000",wheat-rice,3100-4100,wheat,"3100"
"190",30.83776,31.11985,"1067",wheat,"3100",wheat,"3200",,,wheat,"3300",,,wheat,"2100",,
"191",30.83949,31.12018,"1170",wheat - rice,3100-4000,wheat,"3200",wheat - rice,3000-4000,rice,"4300",wheat - rice,3100-4200,rice,"4200",wheat - rice,3100-4100
"192",30.838456,31.120012,"1086",,,wheat,"3300",wheat,"3200",rice,"4300",wheat,"3200",rice,"4100",wheat,"3200"
"193",30.83967,31.12238,"1116",,,wheat,"3200",,,wheat - rice,3300-4200,,,wheat - rice,3200-4100,,
"194",30.84044,31.12045,"1121",,,wheat - rice,3300-4000,,,wheat - rice,3300-4200,,,wheat - rice,3100-4000,,
"195",30.84053,31.11702,"1115",,,wheat,"3300",,,wheat - rice,3100-4100,,,wheat - rice,3200-4200,,
"196",30.83939,31.12662,"1068",,,wheat,,,,rice,"4300",,,rice,"4100",,
"197",30.84068,31.12511,"1077",wheat,"3200",wheat,"3300",wheat,"3300",wheat - rice,3300-4100,wheat,"2900",wheat - rice,3100-4200,wheat,"3200"
"198",30.84078,31.12312,"1087",wheat,"3100",wheat,"3200",wheat,"3200",rice,"4300",wheat,"3200",rice,"4100",wheat,"3100"
"199",30.84091,31.12016,"1122",,,wheat - rice,3200-4200,,,wheat - rice,3300-4200,,,wheat - rice,3000-4200,,
"200",30.84114,31.12024,"1123",,,wheat - rice,3300-4300,,,wheat - rice,3200-4200,,,wheat - rice,3100-4000,,
"201",30.84139,31.12037,"1157",Wheat,"3100",wheat,"3200",wheat,"3300",wheat,"2400",wheat,"3300",wheat,"3300",wheat,"3100"
"202",30.841205,31.121581,"1078",,,wheat,"3400",wheat,"3300",rice,"4300",wheat,"3100",rice,"4100",wheat,"3100"
"203",30.84162,31.12479,"1117",wheat,"3100",wheat,"3300",wheat,"3300",rice,"4400",wheat,"3100",rice,"4100",wheat,"3200"
"204",30.84193,31.12162,"1118",,,wheat,"3300",,,wheat - rice,3300-4200,,,wheat - rice,3100-4100,,
"205",30.84179,31.12017,"1145",wheat,,wheat - rice,3100-4100,wheat,"3300",wheat - rice,3300-4200,wheat,"3300",wheat - rice,3300-4200,wheat,"3200"
"206",30.84189,31.11996,"1144",wheat - rice,3000-4000,wheat,"3000",wheat - rice,3200-4200,rice,"4300",wheat - rice,3200-4100,rice,"4100",wheat - rice,3100-4100
"207",30.84201,31.12034,"1155",wheat - rice,2900-4200,wheat,"3100",wheat - rice,3300-4300,rice,"4400",wheat - rice,3300-4100,rice,"4200",wheat - rice,3200-4200
"208",30.84217,31.12068,"1146",,,wheat - rice,3000-4000,,,wheat - rice,3300-4200,,,wheat - rice,3100-4100,,
"209",30.84243,31.12016,"1147",wheat,"3200",wheat - rice,3200-4100,wheat,"3300",wheat - rice,3200-4200,wheat,"3200",wheat - rice,3300-4200,wheat,"3200"
"210",30.84283,31.11983,"1156",,,wheat,"3200",,,wheat - rice,3300-4200,,,wheat - rice,3300-4200,,
"211",30.84207,31.11886,"1081",rice,"4500",wheat,"3400",wheat,"3300", rice,"4400",wheat,"3200",rice,"4000",wheat,"3100"
"212",30.84268,31.11912,"1175",,,wheat,"3300",,,wheat - rice,3200-4200,,,wheat - rice,3100-4000,,
"213",30.842563,31.119889,"1148",wheat,"3200",wheat - rice,3100-4200,wheat,"2200",wheat - rice,3100-4300,wheat,"3000",wheat - rice,3300-4100,wheat,"3200"
"214",30.84273,31.12142,"1120",,,wheat - rice,3200-4100,,,wheat - rice,3400-4200,,,wheat - rice,3200-4000,,
"215",30.84336,31.12145,"1119",,,wheat - rice,3200-4300,,,wheat - rice,3400-4300,,,wheat - rice,3200-4200,,
"216",30.86815,31.9301,"1124",,,wheat - rice,3100-4100,,,wheat - rice,3300-4200,,,wheat - rice,3200-4100,,
